ResourceName,AssetType,ProjectID,Region,FullResourcePath
flowcontrol-guardrails.config.common-webhooks.networking.gke.io,admissionregistration.k8s.io/ValidatingWebhookConfiguration,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/admissionregistration.k8s.io/validatingwebhookconfigurations/flowcontrol-guardrails.config.common-webhooks.networking.gke.io
gateway-api-alpha-readonly.networking.gke.io,admissionregistration.k8s.io/ValidatingWebhookConfiguration,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/admissionregistration.k8s.io/validatingwebhookconfigurations/gateway-api-alpha-readonly.networking.gke.io
gmp-operator.gke-gmp-system.monitoring.googleapis.com,admissionregistration.k8s.io/ValidatingWebhookConfiguration,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/admissionregistration.k8s.io/validatingwebhookconfigurations/gmp-operator.gke-gmp-system.monitoring.googleapis.com
nodelimit.config.common-webhooks.networking.gke.io,admissionregistration.k8s.io/ValidatingWebhookConfiguration,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/admissionregistration.k8s.io/validatingwebhookconfigurations/nodelimit.config.common-webhooks.networking.gke.io
validation-webhook.snapshot.storage.k8s.io,admissionregistration.k8s.io/ValidatingWebhookConfiguration,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/admissionregistration.k8s.io/validatingwebhookconfigurations/validation-webhook.snapshot.storage.k8s.io
warden-validating.config.common-webhooks.networking.gke.io,admissionregistration.k8s.io/ValidatingWebhookConfiguration,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/admissionregistration.k8s.io/validatingwebhookconfigurations/warden-validating.config.common-webhooks.networking.gke.io
